ADI,TRECHO
BR-282,Intersecção com a Rua Pref. Dib Cherem até a Ponte Gov. Pedro Ivo Campos
Rua Dr. Odilon Galotti,Toda sua extensão
Rua Prof. Barreiros Filho,Toda sua extensão
Rua Santa Rita de Cássia,Intersecção com a Rua Irmã Bonavita até a Rua Prof. Barreiros Filho
Rua Profa. Rosinha Campos,Intersecção com a Rua João Meirelles até a intersecção com a Rua Campolino Alves
Rua Campolino Alves,Intersecção com a Rua Profa. Rosinha Campos até a intersecção com a Rua São Cristóvão
Rua João Meirelles,Toda sua extensão
Avenida Eng. Max de Souza,Intersecção com a Rua São Cristóvão até a Rua Cap. Euclides de Castro
Rua Cap. Euclides de Castro,Intersecção com a Avenida Cláudio Alvim Barbosa até a Avenida Eng. Max de Souza
Avenida Cláudio Alvim Barbosa,Intersecção com a Servidão Dona Floriana até a intersecção com a Rua Cap. Euclides de Castro
Avenida Santa Catarina,Intersecção com a Rua Araci Vaz Callado até a intersecção com a Rua Sérgio Gil
Rua Joaquim Nabuco,Toda sua extensão
Rua Afonso Pena,Intersecção com a Rua Gen. Liberato Bittencourt até a Rua Joaquim Nabuco
Rua Fúlvio Aducci,Intersecção com a Rua Souza Dutra até a intersecção com o Viaduto Pres. John Kennedy
Viaduto Pres. John Kennedy,Intersecção com a Rua Fúlvio Aducci até a Avenida Gov. Ivo Silveira
Avenida Gov. Ivo Silveira,Intersecção com a Rua Fúlvio Aducci até a intersecção com a Rua Gen. Eurico Gaspar Dutra
Rua Cel. Pedro Demoro,Toda sua extensão
Rua Gen. Liberato Bittencourt,Toda sua extensão
Rua Gen. Eurico Gaspar Dutra,Toda sua extensão
Avenida Prof. Henrique da Silva Fontes,Intersecção com a Avenida Me. Benvenuta até a Rua Prof. Lauro Caldeira de Andrada
Rua Prof. Lauro Caldeira de Andrada,Toda sua extensão
Avenida da Saudade,Da Rua Prof. Lauro Caldeira de Andrada até a Rua Lauro Linhares
Rua Lauro Linhares,Da Avenida da Saudade até a intersecção com a Avenida Me. Benvenuta
Avenida Me. Benvenuta,Toda sua extensão
Avenida Gov. José Boabaid,Toda sua extensão
Avenida Carlos Gonzaga,Toda sua extensão
Rua Eurico Hosterno,Toda sua extensão
Rua Joe Collaço,Toda sua extensão
Rua João Pio Duarte Silva,Toda sua extensão
Rua Vera Linhares de Andrade,Toda sua extensão
Rodovia José Carlos Daux,Intersecção com a Rodovia João Paulo até a intersecção com a Estrada Haroldo Soares Glavan
Rodovia Virgílio Várzea,Da Rodovia João Paulo até a intersecção com a Rodovia José Carlos Daux (SC-401)
Avenida Pref. Waldemar Vieir,Da Rua Jerônimo José Dias até a intersecção com a Rua Dep. Antônio Edu Vieira
Rua Dep. Antônio Edu Vieira,Toda sua extensão
Rua João Motta Espezim,Toda sua extensão
Rua Cap. Romualdo de Barros,Intersecção com a Avenida César Seara até a intersecção com a Rua João Motta Espezim
Avenida César Seara,Da Rua Des. Vítor Lima até a intersecção com a Rua Dep. Antônio Edu Vieira
Rua Des. Vítor Lima,Da Rua Profa. Maria Flora Pausewang até a Avenida César
Rua Lauro Linhares,Intersecção com a Avenida Me. Benvenuta até a intersecção com a Rua Des. Vítor Lima
Rua Profa. Maria Flora Pausewang,Intersecção com a Avenida Prof. Henrique da Silva Fontes até a intersecção com a Rua Lauro Linhares
Avenida Prof. Henrique da Silva Fontes,Intersecção com a Avenida Me. Benvenuta até a intersecção com a Rua Profa. Maria Flora Pausewang
Rua Rui Barbosa,Intersecção com a Servidão Franzoni até a Rua Delminda Silveira
Rua Delminda Silveira,Da Rua Rui Barbosa até a Rua Lauro Linhares
Rodovia Admar Gonzaga,Intersecção com a Avenida da Saudade até a intersecção com a Rua Vera Linhares de Andrade
